key,date,value,day
LINEA_H,"2018-01-01 13:00:00",3564,3
LINEA_H,"2018-01-01 13:15:00",3138,3
LINEA_H,"2018-01-01 13:30:00",3530,3
LINEA_H,"2018-01-01 13:45:00",2568,3
LINEA_H,"2018-01-01 14:00:00",1400,3
LINEA_H,"2018-01-01 14:15:00",4286,3
LINEA_H,"2018-01-01 14:30:00",2236,3
LINEA_H,"2018-01-01 14:45:00",3315,3
LINEA_H,"2018-01-01 15:00:00",3662,3
LINEA_H,"2018-01-01 15:15:00",5690,3
LINEA_H,"2018-01-01 15:30:00",4407,3
LINEA_H,"2018-01-01 15:45:00",2665,3
LINEA_H,"2018-01-01 16:00:00",2560,3
LINEA_H,"2018-01-01 16:15:00",82,3
LINEA_H,"2018-01-01 16:30:00",1384,3
LINEA_H,"2018-01-01 16:45:00",2104,3
LINEA_H,"2018-01-01 17:00:00",1757,3
LINEA_H,"2018-01-01 17:15:00",7380,3
LINEA_H,"2018-01-01 17:30:00",11494,3
LINEA_H,"2018-01-01 17:45:00",10348,3
LINEA_H,"2018-01-01 18:00:00",13026,3
LINEA_H,"2018-01-01 18:15:00",8334,3
LINEA_H,"2018-01-01 18:30:00",4737,3
LINEA_H,"2018-01-01 18:45:00",3016,3
LINEA_H,"2018-01-01 19:00:00",4094,3
LINEA_E,"2018-01-01 13:00:00",2459,3
LINEA_E,"2018-01-01 13:15:00",1910,3
LINEA_E,"2018-01-01 13:30:00",2513,3
LINEA_E,"2018-01-01 13:45:00",1674,3
LINEA_E,"2018-01-01 14:00:00",892,3
LINEA_E,"2018-01-01 14:15:00",2944,3
LINEA_E,"2018-01-01 14:30:00",1631,3
LINEA_E,"2018-01-01 14:45:00",2820,3
LINEA_E,"2018-01-01 15:00:00",3199,3
LINEA_E,"2018-01-01 15:15:00",4089,3
LINEA_E,"2018-01-01 15:30:00",3437,3
LINEA_E,"2018-01-01 15:45:00",1685,3
LINEA_E,"2018-01-01 16:00:00",1938,3
LINEA_E,"2018-01-01 16:15:00",199,3
LINEA_E,"2018-01-01 16:30:00",795,3
LINEA_E,"2018-01-01 16:45:00",1548,3
LINEA_E,"2018-01-01 17:00:00",863,3
LINEA_E,"2018-01-01 17:15:00",4789,3
LINEA_E,"2018-01-01 17:30:00",8395,3
LINEA_E,"2018-01-01 17:45:00",7323,3
LINEA_E,"2018-01-01 18:00:00",8770,3
LINEA_E,"2018-01-01 18:15:00",6399,3
LINEA_E,"2018-01-01 18:30:00",3233,3
LINEA_E,"2018-01-01 18:45:00",2155,3
LINEA_E,"2018-01-01 19:00:00",2576,3
LINEA_D,"2018-01-01 13:00:00",6926,3
LINEA_D,"2018-01-01 13:15:00",5803,3
LINEA_D,"2018-01-01 13:30:00",7519,3
LINEA_D,"2018-01-01 13:45:00",5055,3
LINEA_D,"2018-01-01 14:00:00",3448,3
LINEA_D,"2018-01-01 14:15:00",8524,3
LINEA_D,"2018-01-01 14:30:00",6330,3
LINEA_D,"2018-01-01 14:45:00",7760,3
