key,date,value,day
RETIRO,2018-01-01 13:00:00,1190,3
RETIRO,2018-01-01 13:15:00,864,3
RETIRO,2018-01-01 13:30:00,1272,3
RETIRO,2018-01-01 13:45:00,932,3
RETIRO,2018-01-01 14:00:00,519,3
RETIRO,2018-01-01 14:15:00,1138,3
RETIRO,2018-01-01 14:30:00,773,3
RETIRO,2018-01-01 14:45:00,1161,3
RETIRO,2018-01-01 15:00:00,1125,3
RETIRO,2018-01-01 15:15:00,1889,3
RETIRO,2018-01-01 15:30:00,1917,3
RETIRO,2018-01-01 15:45:00,695,3
RETIRO,2018-01-01 16:00:00,838,3
RETIRO,2018-01-01 16:15:00,134,3
RETIRO,2018-01-01 16:30:00,264,3
RETIRO,2018-01-01 16:45:00,869,3
RETIRO,2018-01-01 17:00:00,556,3
RETIRO,2018-01-01 17:15:00,2875,3
RETIRO,2018-01-01 17:30:00,7905,3
RETIRO,2018-01-01 17:45:00,5274,3
RETIRO,2018-01-01 18:00:00,2581,3
RETIRO,2018-01-01 18:15:00,1961,3
RETIRO,2018-01-01 18:30:00,2377,3
RETIRO,2018-01-01 18:45:00,1865,3
RETIRO,2018-01-01 19:00:00,1771,3
"PLAZA MISERERE",2018-01-01 13:00:00,857,3
"PLAZA MISERERE",2018-01-01 13:15:00,495,3
"PLAZA MISERERE",2018-01-01 13:30:00,556,3
"PLAZA MISERERE",2018-01-01 13:45:00,376,3
"PLAZA MISERERE",2018-01-01 14:00:00,192,3
"PLAZA MISERERE",2018-01-01 14:15:00,492,3
"PLAZA MISERERE",2018-01-01 14:30:00,473,3
"PLAZA MISERERE",2018-01-01 14:45:00,684,3
"PLAZA MISERERE",2018-01-01 15:00:00,469,3
"PLAZA MISERERE",2018-01-01 15:15:00,811,3
"PLAZA MISERERE",2018-01-01 15:30:00,676,3
"PLAZA MISERERE",2018-01-01 15:45:00,479,3
"PLAZA MISERERE",2018-01-01 16:00:00,312,3
"PLAZA MISERERE",2018-01-01 16:15:00,63,3
"PLAZA MISERERE",2018-01-01 16:30:00,250,3
"PLAZA MISERERE",2018-01-01 16:45:00,730,3
"PLAZA MISERERE",2018-01-01 17:00:00,319,3
"PLAZA MISERERE",2018-01-01 17:15:00,674,3
"PLAZA MISERERE",2018-01-01 17:30:00,1331,3
"PLAZA MISERERE",2018-01-01 17:45:00,1287,3
"PLAZA MISERERE",2018-01-01 18:00:00,1044,3
"PLAZA MISERERE",2018-01-01 18:15:00,760,3
"PLAZA MISERERE",2018-01-01 18:30:00,618,3
"PLAZA MISERERE",2018-01-01 18:45:00,402,3
"PLAZA MISERERE",2018-01-01 19:00:00,654,3
"FEDERICO LACROZE",2018-01-01 13:00:00,815,3
