Año,Fecha,Mes,Día de la semana,Día,Tema,Sub Tema,Línea,Estación,
2016,1/1/16,1,Friday,1,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,Sin especificar,Sin especificar,
2016,1/3/16,1,Sunday,3,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,B,FEDERICO LACROZE,
2016,1/4/16,1,Monday,4,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,E,BELGRANO,
2016,1/4/16,1,Monday,4,Demoras e Interrupciones,DEMORAS - SUBTE,E,Bolívar,
2016,1/4/16,1,Monday,4,Accesos cerrados,ACCESOS CERRADOS - SUBTE,D,BULNES,
2016,1/4/16,1,Monday,4,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,D,Congreso de Tucumán,
2016,1/4/16,1,Monday,4,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,B,FEDERICO LACROZE,
2016,1/4/16,1,Monday,4,Temperaturas,ALTAS - BAJAS TEMPERATURAS - SUBTE,B,FEDERICO LACROZE,
2016,1/4/16,1,Monday,4,Demoras e Interrupciones,INTERRUPCIONES - SUBTE,B,FEDERICO LACROZE,
2016,1/4/16,1,Monday,4,Estaciones,FILTRACIONES - SUBTE,B,URUGUAY,
2016,1/4/16,1,Monday,4,Emergencias,ELEMENTOS PARA URGENCIAS Y/O EMERGENCIAS - SUBTE,Sin especificar,Sin especificar,
2016,1/4/16,1,Monday,4,Inconvenientes con el personal,INCONVENIENTES CON EL PERSONAL - SUBTE,A,LIMA,
2016,1/4/16,1,Monday,4,Seguridad,DESEMPEÑO DE EFECTIVOS DE SEGURIDAD - SUBTE,A,PIEDRAS,
2016,1/4/16,1,Monday,4,Demoras e Interrupciones,DEMORAS - SUBTE,E,INDEPENDENCIA_E,
2016,1/4/16,1,Monday,4,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,E,PLAZA DE LOS VIRREYES,
2016,1/4/16,1,Monday,4,Otros,WIFI - SUBTE,A,CASTRO BARROS,
2016,1/4/16,1,Monday,4,Falta de limpieza,LIMPIEZA - SUBTE,A,SAN PEDRITO,
2016,1/4/16,1,Monday,4,Seguridad,DESEMPEÑO DE EFECTIVOS DE SEGURIDAD - SUBTE,A,PUAN,
2016,1/4/16,1,Monday,4,Estaciones,INFRAESTRUCTURA DE ESTACIONES - SUBTE,A,PUAN,
2016,1/4/16,1,Monday,4,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,A,PRIMERA JUNTA,
2016,1/4/16,1,Monday,4,Escaleras mecánicas,FUNCIONAMIENTO/ MANTENIMIENTO DE ESCALERAS MECANICAS - SUBTE,D,AGÜERO,
2016,1/4/16,1,Monday,4,Seguridad,ROBOS O ILICITOS - SUBTE,D,BULNES,
2016,1/4/16,1,Monday,4,Molinetes,FUNCIONAMIENTO/ MANTENIMIENTO DE MOLINETES - SUBTE,B,Tronador Villa Ortuzar,
2016,1/4/16,1,Monday,4,Coches,FUNCIONAMIENTO/ MANTENIMIENTO DE COCHES - SUBTE,E,General Urquiza,
