ESTACION,NombreWiki,ID,LINEA,BARRIO,COMUNA,wiki
LORIA,Loria,39,A,ALMAGRO,COMUNA 05,https://es.wikipedia.org/wiki/Loria_(Subte_de_Buenos_Aires)
CASTRO BARROS,Castro Barros,40,A,ALMAGRO,COMUNA 05,https://es.wikipedia.org/wiki/Castro_Barros_(Subte_de_Buenos_Aires)
RIO DE JANEIRO,Río de Janeiro,41,A,ALMAGRO,COMUNA 05,https://es.wikipedia.org/wiki/R%C3%ADo_de_Janeiro_(Subte_de_Buenos_Aires)
CONGRESO,Congreso,35,A,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Congreso_(Subte_de_Buenos_Aires)
PASCO,Pasco,36,A,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Pasco_(Subte_de_Buenos_Aires)
ALBERTI,Alberti,37,A,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Alberti_(Subte_de_Buenos_Aires)
PLAZA MISERERE,Plaza Miserere,38,A,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Plaza_Miserere_(Subte_de_Buenos_Aires))FCDFS
ACOYTE,Acoyte,42,A,CABALLITO,COMUNA 06,https://es.wikipedia.org/wiki/Acoyte_(Subte_de_Buenos_Aires)
PRIMERA JUNTA,Primera Junta,43,A,CABALLITO,COMUNA 06,https://es.wikipedia.org/wiki/Primera_Junta_(Subte_de_Buenos_Aires))FCDFS
PUAN,Puán,76,A,CABALLITO,COMUNA 06,https://es.wikipedia.org/wiki/Pu%C3%A1n_(Subte_de_Buenos_Aires)
CARABOBO,Carabobo,75,A,FLORES,COMUNA 07,https://es.wikipedia.org/wiki/Carabobo_(Subte_de_Buenos_Aires)
FLORES,San José de Flores,82,A,FLORES,COMUNA 07,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_Flores_(Subte_de_Buenos_Aires))FCDFS
SAN PEDRITO,San Pedrito,83,A,FLORES,COMUNA 07,https://es.wikipedia.org/wiki/San_Pedrito_(Subte_de_Buenos_Aires)
PERU,Perú,31,A,MONSERRAT,COMUNA 01,https://es.wikipedia.org/wiki/Per%C3%BA_(Subte_de_Buenos_Aires)
PIEDRAS,Piedras,32,A,MONSERRAT,COMUNA 01,https://es.wikipedia.org/wiki/Piedras_(Subte_de_Buenos_Aires)
LIMA,Lima,33,A,MONSERRAT,COMUNA 01,https://es.wikipedia.org/wiki/Lima_(Subte_de_Buenos_Aires))
SAENZ PEÑA,Sáenz Peña,34,A,MONSERRAT,COMUNA 01,https://es.wikipedia.org/wiki/S%C3%A1enz_Pe%C3%B1a_(Subte_de_Buenos_Aires)
PLAZA DE MAYO,Plaza de Mayo,70,A,MONSERRAT,COMUNA 01,https://es.wikipedia.org/wiki/Plaza_de_Mayo_(Subte_de_Buenos_Aires)
MEDRANO,Medrano,27,B,ALMAGRO,COMUNA 05,https://es.wikipedia.org/wiki/Medrano_(Subte_de_Buenos_Aires)
ANGEL GALLARDO,Ángel Gallardo,28,B,ALMAGRO,COMUNA 05,https://es.wikipedia.org/wiki/%C3%81ngel_Gallardo_(Subte_de_Buenos_Aires)
CALLAO.B,Callao,23,B,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Callao_(l%C3%ADnea_B_del_Subte_de_Buenos_Aires)
PASTEUR,Pasteur - AMIA,24,B,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Pasteur_-_AMIA_(Subte_de_Buenos_Aires)
PUEYRREDON,Pueyrredón,25,B,BALVANERA,COMUNA 03,https://es.wikipedia.org/wiki/Pueyrred%C3%B3n_(l%C3%ADnea_B_del_Subte_de_Buenos_Aires)
